room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
6119821,1435,31751507,Shared room,,Seattle,,Pike-Market,81,4.5,8,1.0,,90.0,,2017-07-11 15:05:12.953728,47.60908,-122.340106,0101000020E610000019CBF44BC4955EC0E7525C55F6CD4740
13785072,1435,1243056,Shared room,,Seattle,,University District,0,0.0,4,1.0,,252.0,,2017-07-11 15:05:08.367602,47.657006,-122.31925,0101000020E6100000DF4F8D976E945EC04DA3C9C518D44740
19165502,1435,35011953,Shared room,,Seattle,,First Hill,0,0.0,1,1.0,,200.0,,2017-07-11 15:05:07.751564,47.605534,-122.325529,0101000020E610000093399677D5945EC0DB4E5B2382CD4740
16617567,1435,109568126,Shared room,,Seattle,,Mount Baker,0,0.0,1,1.0,,200.0,,2017-07-11 15:05:07.748494,47.572852,-122.291112,0101000020E610000048DE3994A1925EC05EB9DE3653C94740
13868361,1435,1243056,Shared room,,Seattle,,Wallingford,0,0.0,4,1.0,,180.0,,2017-07-11 15:05:05.501460,47.64973,-122.332522,0101000020E6100000D5CC5A0A48955EC0739D465A2AD34740
13877457,1435,1243056,Shared room,,Seattle,,Wallingford,0,0.0,4,1.0,,180.0,,2017-07-11 15:05:05.498639,47.65175,-122.332131,0101000020E610000038BF61A241955EC08195438B6CD34740
13877143,1435,1243056,Shared room,,Seattle,,Wallingford,0,0.0,4,1.0,,180.0,,2017-07-11 15:05:05.496453,47.651092,-122.331426,0101000020E6100000D2C2651536955EC0F7578FFB56D34740
13785508,1435,1243056,Shared room,,Seattle,,University District,0,0.0,2,1.0,,150.0,,2017-07-11 15:05:05.493450,47.658844,-122.319661,0101000020E6100000A033695375945EC03A950C0055D44740
13877900,1435,1243056,Shared room,,Seattle,,Wallingford,0,0.0,2,1.0,,150.0,,2017-07-11 15:05:05.491123,47.64981,-122.332202,0101000020E61000009C6A2DCC42955EC0904E5DF92CD34740
13785654,1435,1243056,Shared room,,Seattle,,University District,0,0.0,2,1.0,,150.0,,2017-07-11 15:05:05.488522,47.658629,-122.319563,0101000020E6100000BF805EB873945EC03D997FF44DD44740
3757858,1435,19196841,Shared room,,Seattle,,Minor,30,5.0,2,1.0,,149.0,,2017-07-11 15:05:05.483970,47.609777,-122.313,0101000020E610000079E9263108945EC02F6D382C0DCE4740
17240892,1435,116162089,Shared room,,Seattle,,Bryant,0,0.0,1,1.0,,115.0,,2017-07-11 15:05:03.276638,47.662065,-122.289325,0101000020E6100000933A014D84925EC0C269C18BBED44740
12623261,1435,45287165,Shared room,,Seattle,,Broadway,9,5.0,1,1.0,,110.0,,2017-07-11 15:05:03.175002,47.616074,-122.326894,0101000020E61000008DD0CFD4EB945EC03CF54883DBCE4740
15487222,1435,99447790,Shared room,,Seattle,,Pike-Market,5,5.0,5,1.0,,80.0,,2017-07-11 15:05:02.433152,47.609694,-122.341352,0101000020E6100000261B0FB6D8955EC0A148F7730ACE4740
13877694,1435,1243056,Shared room,,Seattle,,Wallingford,0,0.0,2,1.0,,90.0,,2017-07-11 15:05:02.430343,47.649474,-122.332518,0101000020E610000034D593F947955EC018CDCAF621D34740
19385263,1435,85076667,Shared room,,Seattle,,Fremont,0,0.0,2,1.0,,88.0,,2017-07-11 15:05:02.427921,47.661572,-122.353619,0101000020E6100000A10F96B1A1965EC083F92B64AED44740
13395087,1435,75961250,Shared room,,Seattle,,Roosevelt,0,0.0,2,1.0,,99.0,,2017-07-11 15:05:02.423077,47.684505,-122.312368,0101000020E610000049145AD6FD935EC068791EDC9DD74740
